Join Date,Name,Completed
"Dec 28, 2021, 12:31:38 AM",Red Bull January Jumpstart,true
"Dec 28, 2021, 4:56:29 AM",January 5k,true
"Dec 28, 2021, 4:56:34 AM",Le Col Project 22 Challenge,true
"Jan 26, 2022, 2:56:04 AM",February Run Climbing Challenge,false
"Jan 26, 2022, 2:56:04 AM",February Running Distance Challenge,true
"Jan 26, 2022, 2:56:05 AM",February 5k,true
"Jan 26, 2022, 2:56:06 AM",February 10k,true
"Jan 26, 2022, 2:56:08 AM",February Running Challenge,true
"Jan 26, 2022, 2:56:10 AM",February Half Marathon,true
"Jan 26, 2022, 2:56:11 AM",February Running Endurance Challenge,false
"Jan 26, 2022, 12:18:33 PM",Altra For the Love of Running 2022 Challenge,true
"Jan 30, 2022, 11:33:56 PM",February Gran Fondo,false
"Feb 24, 2022, 10:17:31 PM",March Half Marathon,false
"Feb 24, 2022, 10:17:50 PM",March Favorite Way 200K,false
"Feb 24, 2022, 10:17:50 PM",March Running Distance Challenge,false
"Feb 24, 2022, 10:17:55 PM",March 10k,true
"Feb 24, 2022, 10:17:57 PM",March 5k,true
"Feb 24, 2022, 10:18:01 PM",March Running Endurance Challenge,false
"Feb 24, 2022, 10:18:21 PM",March Run Climbing Challenge,false
"Feb 24, 2022, 10:18:24 PM",March Gran Fondo,false
"Feb 24, 2022, 10:18:25 PM",March Cycling Climbing Challenge,false
"Feb 24, 2022, 10:18:28 PM",March Cycling Consistency Challenge,false
"Feb 25, 2022, 12:24:37 PM",March Running Challenge,false
"Mar 5, 2022, 1:44:20 AM",March Walking Distance Challenge,false
"Mar 25, 2022, 4:47:40 PM",April Running Challenge,false
"Mar 25, 2022, 4:47:41 PM",April Half Marathon,false
"Mar 25, 2022, 4:47:53 PM",April 5k,false
"Mar 25, 2022, 4:48:00 PM",April 10k,false
"May 2, 2022, 11:30:24 AM",May 5k,false
"May 2, 2022, 11:30:25 AM",May 10k,false
"May 2, 2022, 11:30:30 AM",May Running Challenge,false
"May 29, 2022, 8:10:58 PM",June 5K,true
"Jun 21, 2022, 3:52:38 PM",June Sweat With Pride Challenge,true
"Jun 21, 2022, 3:53:05 PM",June 10k,true
"Jun 21, 2022, 4:35:54 PM",Nuun Summer Crush 300,true
"Aug 27, 2022, 2:49:59 PM",August 5K,true
"Aug 27, 2022, 2:49:59 PM",August 10k,true
"Aug 27, 2022, 2:50:04 PM",September Half Marathon,false
"Aug 27, 2022, 2:50:05 PM",September Running Distance Challenge,false
"Aug 27, 2022, 2:50:06 PM",September 5K,true
"Aug 27, 2022, 2:50:07 PM",September Run Climbing Challenge,false
"Aug 27, 2022, 2:50:08 PM",September 10k,true
"Aug 27, 2022, 2:50:09 PM",September Running Challenge,true
"Sep 25, 2022, 5:30:45 PM",October Run Climbing Challenge,false
"Sep 25, 2022, 5:30:46 PM",October Gran Fondo,false
"Sep 25, 2022, 5:30:50 PM",October 5K,true
"Sep 25, 2022, 5:30:50 PM",October Running Challenge,true
"Sep 25, 2022, 5:30:51 PM",October 10k,true
"Oct 27, 2022, 12:58:07 AM",November 10k,true
"Oct 27, 2022, 12:58:07 AM",November 5K,true
"Oct 27, 2022, 12:58:07 AM",November Running Endurance Challenge,false
"Oct 27, 2022, 12:58:10 AM",November Run Climbing Challenge,false
"Oct 27, 2022, 1:09:42 AM",November Running Distance Challenge,false
"Oct 27, 2022, 1:09:43 AM",November Half Marathon,false
"Oct 27, 2022, 1:09:44 AM",November Running Challenge,true
"Nov 27, 2022, 3:42:42 PM",December 10k,false
"Nov 27, 2022, 3:42:43 PM",December Run Climbing Challenge,false
"Nov 27, 2022, 3:42:44 PM",December Running Challenge,false
"Nov 27, 2022, 3:42:45 PM",December Running Endurance Challenge,false
"Nov 27, 2022, 3:42:46 PM",December Running Distance Challenge,false
"Nov 27, 2022, 3:42:47 PM",December 5K,true
"Nov 27, 2022, 3:42:47 PM",December Half Marathon,false
"Dec 27, 2022, 10:39:50 PM",January 5K,true
"Dec 27, 2022, 10:39:56 PM",January Fresh Start Challenge,false
"Dec 28, 2022, 3:46:54 AM",January 10k,true
"Jan 16, 2023, 6:24:02 AM",When We Strava,true
"Jan 28, 2023, 12:33:14 AM",February Run Climbing Challenge,false
"Jan 28, 2023, 12:33:14 AM",February 5k,true
"Jan 28, 2023, 12:33:15 AM",February 10k,true
"Jan 28, 2023, 12:33:16 AM",February Running Distance Challenge,true
"Jan 28, 2023, 12:33:17 AM",February Running Challenge,true
"Jan 28, 2023, 12:33:23 AM",February Half Marathon,false
"Jan 28, 2023, 12:33:24 AM",February Running Endurance Challenge,false
"Feb 24, 2023, 5:22:29 PM",March Half Marathon,false
"Feb 24, 2023, 5:22:30 PM",March 5k,true
"Feb 24, 2023, 5:22:33 PM",March Running Challenge,true
"Feb 24, 2023, 5:22:34 PM",March 10k,true
"Feb 24, 2023, 5:22:35 PM",March Running Endurance Challenge,false
"Feb 24, 2023, 5:22:35 PM",March Run Climbing Challenge,true
"Feb 25, 2023, 7:55:41 PM",CamelBak® All-Terrain Running Challenge,true
"Mar 31, 2023, 6:13:41 PM",April Run Climbing Challenge,true
"Mar 31, 2023, 6:13:42 PM",April Running Challenge,true
"Mar 31, 2023, 6:13:43 PM",April 10k,true
"Mar 31, 2023, 6:13:43 PM",April Running Endurance Challenge,true
"Mar 31, 2023, 6:13:52 PM",April Half Marathon,true
"Mar 31, 2023, 6:13:53 PM",April 5k,true
"Apr 5, 2023, 4:13:42 PM",waterdrop® Spring Into Fitness Challenge,true
"Apr 9, 2023, 3:51:23 PM",April Running Distance Challenge,true
"Apr 18, 2023, 6:40:34 PM",Find Your 15 with L.L.Bean,true
"Apr 26, 2023, 2:25:27 PM",May 10k,true
"Apr 26, 2023, 2:25:30 PM",May Running Challenge,true
"Apr 26, 2023, 2:25:31 PM",May Half Marathon,true
"Apr 26, 2023, 2:25:32 PM",May Run Climbing Challenge,false
"Apr 26, 2023, 2:25:34 PM",May Running Endurance Challenge,false
"Apr 26, 2023, 2:25:40 PM",May Running Distance Challenge,true
