Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 6, 2020, 1:53:59 AM",Kudos,Activity,3569551153
"Jun 6, 2020, 4:38:22 PM",Kudos,Activity,3572795742
"Jun 6, 2020, 4:38:32 PM",Kudos,Activity,3572428810
"Jun 6, 2020, 4:38:42 PM",Kudos,Post,10088157
"Jun 6, 2020, 8:54:04 PM",Kudos,Activity,3574115741
"Jun 6, 2020, 8:56:20 PM",Kudos,Activity,3574395103
"Jun 7, 2020, 1:48:07 AM",Kudos,Activity,3574817415
"Jun 7, 2020, 1:48:14 AM",Kudos,Activity,3574500547
"Jun 7, 2020, 8:47:35 PM",Kudos,Activity,3580060446
"Jun 7, 2020, 8:47:40 PM",Kudos,Activity,3579112821
"Jun 7, 2020, 8:47:51 PM",Kudos,Activity,3578680583
"Jun 7, 2020, 8:47:57 PM",Kudos,Activity,3579176414
"Jun 7, 2020, 8:48:11 PM",Kudos,Activity,3580085186
"Jun 8, 2020, 1:26:57 AM",Kudos,Post,10136194
"Jun 8, 2020, 2:20:09 PM",Kudos,Activity,3582711610
"Jun 8, 2020, 4:12:53 PM",Kudos,Activity,3583041948
"Jun 8, 2020, 4:13:04 PM",Kudos,Activity,3583042134
"Jun 8, 2020, 4:13:09 PM",Kudos,Activity,3583232215
"Jun 8, 2020, 4:13:13 PM",Kudos,Activity,3583063684
"Jun 8, 2020, 4:13:22 PM",Kudos,Activity,3582938272
"Jun 8, 2020, 4:13:31 PM",Kudos,Activity,3582781205
"Jun 9, 2020, 4:02:43 AM",Kudos,Activity,3583937523
"Jun 9, 2020, 2:30:10 PM",Kudos,Activity,3587710244
"Jun 9, 2020, 2:30:28 PM",Kudos,Activity,3587779107
"Jun 9, 2020, 2:30:31 PM",Kudos,Activity,3587754105
"Jun 9, 2020, 3:16:50 PM",Kudos,Activity,3587946330
"Jun 9, 2020, 3:16:53 PM",Kudos,Activity,3588007422
"Jun 9, 2020, 6:47:56 PM",Kudos,Activity,3589339535
"Jun 9, 2020, 6:48:01 PM",Kudos,Activity,3589339589
"Jun 9, 2020, 6:48:17 PM",Kudos,Activity,3589339012
"Jun 9, 2020, 6:48:20 PM",Kudos,Activity,3589318259
"Jun 9, 2020, 10:30:27 PM",Kudos,Activity,3589775231
"Jun 10, 2020, 2:06:12 AM",Kudos,Activity,3590832617
"Jun 10, 2020, 2:37:24 PM",Kudos,Activity,3593044833
"Jun 10, 2020, 2:37:30 PM",Kudos,Activity,3593085128
"Jun 10, 2020, 2:37:39 PM",Kudos,Activity,3593062725
"Jun 10, 2020, 2:37:57 PM",Kudos,Activity,3592786323
"Jun 10, 2020, 2:38:00 PM",Kudos,Activity,3592634249
"Jun 11, 2020, 1:00:51 PM",Kudos,Activity,3593669496
"Jun 11, 2020, 3:16:49 PM",Kudos,Activity,3598177416
"Jun 11, 2020, 3:59:34 PM",Kudos,Activity,3598224049
"Jun 11, 2020, 7:14:46 PM",Kudos,Activity,3599173887
"Jun 11, 2020, 7:14:50 PM",Kudos,Activity,3598825317
"Jun 11, 2020, 7:15:10 PM",Kudos,Activity,3599168885
"Jun 11, 2020, 7:15:22 PM",Kudos,Activity,3599242630
"Jun 11, 2020, 7:15:24 PM",Kudos,Activity,3599167965
"Jun 11, 2020, 7:15:28 PM",Kudos,Activity,3599169548
"Jun 11, 2020, 9:47:55 PM",Kudos,Activity,3599962117
"Jun 11, 2020, 9:48:02 PM",Kudos,Activity,3600139341
"Jun 12, 2020, 3:23:08 AM",Kudos,Activity,3600437930
"Jun 12, 2020, 3:23:11 AM",Kudos,Activity,3600461940
"Jun 12, 2020, 11:21:16 AM",Kudos,Activity,3549628354
"Jun 12, 2020, 1:34:22 PM",Kudos,Activity,3593397877
"Jun 12, 2020, 2:33:38 PM",Kudos,Activity,3602753678
"Jun 12, 2020, 2:33:41 PM",Kudos,Activity,3602728187
"Jun 12, 2020, 2:33:53 PM",Kudos,Activity,3596106613
"Jun 12, 2020, 3:48:27 PM",Kudos,Activity,3603026248
"Jun 12, 2020, 3:48:34 PM",Kudos,Activity,3603098266
"Jun 12, 2020, 3:49:04 PM",Kudos,Activity,3603294331
"Jun 12, 2020, 5:30:58 PM",Kudos,Activity,3603294292
"Jun 12, 2020, 11:53:36 PM",Kudos,Activity,3603872588
"Jun 12, 2020, 11:53:39 PM",Kudos,Activity,3603882304
"Jun 13, 2020, 6:47:01 PM",Kudos,Activity,3608214428
"Jun 13, 2020, 6:47:03 PM",Kudos,Activity,3605552181
"Jun 13, 2020, 6:47:13 PM",Kudos,Activity,3608145381
"Jun 13, 2020, 6:47:15 PM",Kudos,Activity,3605247069
"Jun 13, 2020, 10:07:28 PM",Kudos,Activity,3609850083
"Jun 13, 2020, 10:07:34 PM",Kudos,Activity,3609959863
"Jun 14, 2020, 12:58:08 PM",Kudos,Activity,3610294585
"Jun 14, 2020, 7:06:25 PM",Kudos,Activity,3614019686
"Jun 14, 2020, 7:06:31 PM",Kudos,Activity,3615454983
"Jun 14, 2020, 7:06:38 PM",Kudos,Activity,3615487383
"Jun 15, 2020, 3:00:35 AM",Kudos,Activity,3616538610
"Jun 15, 2020, 3:00:38 AM",Kudos,Activity,3615687021
"Jun 15, 2020, 3:00:48 AM",Kudos,Activity,3615456492
"Jun 15, 2020, 4:46:19 PM",Kudos,Activity,3618984419
"Jun 15, 2020, 4:46:22 PM",Kudos,Activity,3619178658
"Jun 15, 2020, 4:46:30 PM",Kudos,Activity,3618544638
"Jun 15, 2020, 4:46:38 PM",Kudos,Activity,3618859770
"Jun 15, 2020, 4:46:43 PM",Kudos,Activity,3618644960
"Jun 15, 2020, 4:46:48 PM",Kudos,Activity,3618825390
"Jun 16, 2020, 12:55:13 AM",Kudos,Activity,3619808594
"Jun 16, 2020, 12:55:16 AM",Kudos,Activity,3621004587
"Jun 16, 2020, 12:55:17 AM",Kudos,Activity,3620847997
"Jun 16, 2020, 5:52:31 PM",Kudos,Activity,3623843892
"Jun 16, 2020, 5:52:35 PM",Kudos,Activity,3623559812
"Jun 16, 2020, 5:52:43 PM",Kudos,Activity,3623837131
"Jun 16, 2020, 5:52:46 PM",Kudos,Activity,3623657273
"Jun 16, 2020, 7:23:23 PM",Kudos,Activity,3625333646
"Jun 16, 2020, 8:42:37 PM",Kudos,Activity,3625642297
"Jun 17, 2020, 2:15:57 AM",Kudos,Activity,3626261403
"Jun 17, 2020, 3:21:05 PM",Kudos,Activity,3629004542
"Jun 17, 2020, 3:21:07 PM",Kudos,Activity,3629012490
"Jun 17, 2020, 3:21:16 PM",Kudos,Activity,3629144112
"Jun 17, 2020, 3:21:30 PM",Kudos,Activity,3629028120
"Jun 17, 2020, 10:21:44 PM",Kudos,Activity,3631007176
"Jun 17, 2020, 10:21:47 PM",Kudos,Activity,3630762772
"Jun 17, 2020, 10:21:49 PM",Kudos,Activity,3629639241
"Jun 18, 2020, 1:28:59 AM",Kudos,Activity,3631522144
"Jun 18, 2020, 3:01:15 PM",Kudos,Activity,3633605500
"Jun 18, 2020, 6:18:00 PM",Kudos,Activity,3634666124
"Jun 18, 2020, 10:09:55 PM",Kudos,Activity,3634984285
"Jun 18, 2020, 10:09:58 PM",Kudos,Activity,3635886778
"Jun 18, 2020, 10:10:31 PM",Kudos,Activity,3635887397
"Jun 18, 2020, 10:10:32 PM",Kudos,Activity,3635887614
"Jun 18, 2020, 10:10:35 PM",Kudos,Activity,3635887969
"Jun 18, 2020, 10:10:38 PM",Kudos,Activity,3635888383
"Jun 18, 2020, 10:10:41 PM",Kudos,Activity,3635887850
"Jun 19, 2020, 12:12:43 PM",Kudos,Activity,3637961633
"Jun 19, 2020, 1:13:31 PM",Kudos,Activity,3636437002
"Jun 19, 2020, 2:54:29 PM",Kudos,Activity,3638497684
"Jun 19, 2020, 4:08:17 PM",Kudos,Activity,3638848492
"Jun 19, 2020, 4:09:18 PM",Kudos,Activity,3638774893
"Jun 19, 2020, 5:13:39 PM",Kudos,Activity,3639172963
"Jun 19, 2020, 5:13:44 PM",Kudos,Activity,3639151756
"Jun 19, 2020, 5:13:54 PM",Kudos,Activity,3639085484
"Jun 20, 2020, 4:22:47 PM",Kudos,Activity,3644188198
"Jun 20, 2020, 4:22:50 PM",Kudos,Activity,3644121304
"Jun 20, 2020, 4:22:54 PM",Kudos,Activity,3644118207
"Jun 20, 2020, 4:23:22 PM",Kudos,Activity,3643953908
"Jun 20, 2020, 4:23:29 PM",Kudos,Activity,3643354347
"Jun 21, 2020, 10:50:39 AM",Kudos,Activity,3646187739
"Jun 21, 2020, 10:50:39 AM",Kudos,Activity,3644761058
"Jun 21, 2020, 1:17:41 PM",Kudos,Activity,3648693495
"Jun 22, 2020, 12:04:07 AM",Kudos,Activity,3650486179
