Comment Date,Comment
"Feb 26, 2023, 8:22:52 PM",It's georgus mmhmm 🌞
"Mar 4, 2023, 9:07:27 PM",Thought that was our basement for a sec haha 
"Mar 4, 2023, 10:31:36 PM",Hmm could we combine the little trampoline and the treadmill? Maybe fix the tread slippage problem while we're at it
"Mar 7, 2023, 7:36:43 PM",I see you're turning into a UAA records pirate 🦜
"Mar 16, 2023, 10:16:17 PM",The Course record on this run(the segment up the hill with the 1:42min/mile pace) is a result of bad pausing on my part and is not real.  If it could be taken down so I don't have to take down the whole run that would be great.
"Mar 17, 2023, 6:48:27 PM",U might be able to get the life fitness app and connect it to the treadmill but the treadmill might be too old of a model can't tell
"Mar 17, 2023, 6:48:47 PM",Why do I waste brain space on life fitness treadmill models
"Mar 18, 2023, 5:36:47 PM",Awesome race man
"Mar 18, 2023, 8:11:15 PM",What is this heat glow of death
"Mar 18, 2023, 8:23:24 PM",Ah nice it looks like this isometric graph paper stuff we were forced to use in geometry in middle school 
"Mar 19, 2023, 9:32:18 PM",HOLY SHIT DUDE POP OFF 
"Mar 19, 2023, 9:32:27 PM",BIG SUB 6 MOMENT COMING SOON
"Mar 23, 2023, 11:30:13 PM",Oh wow I guess we just missed it lol
"Mar 29, 2023, 12:28:14 AM","""getting swol"""
"Mar 30, 2023, 9:48:22 PM","I got the kom for the schenley oval and counterclockwise segment, but only because my watch was paused for .1 of the segment."
"Apr 4, 2023, 1:06:25 PM",Lily E. Slog is a great word...
"Apr 4, 2023, 1:07:07 PM",Chris Milot I saw that haha I think he's actually a grad student at CMU! He has a quite interesting YouTube channel!
"Apr 4, 2023, 9:11:53 PM",cmu men's xctf
"Apr 6, 2023, 3:23:44 PM",I did not........
"Apr 7, 2023, 4:26:29 PM",YOOO ITS A RUN OUTSIDE AND ITS FAST
"Apr 7, 2023, 4:26:40 PM",We are running together at some point this summer
"Apr 7, 2023, 10:36:59 PM",Frfr @strava
"Apr 8, 2023, 7:31:14 PM",💨💨
"Apr 13, 2023, 4:01:42 PM",👑 (Bc four lol)
"Apr 16, 2023, 2:33:43 PM",Nah Scottie is too fast for me he led the race the whole time
"Apr 18, 2023, 11:54:53 PM",If bereal gets a short video update they should call it bereel
"Apr 23, 2023, 4:07:16 AM",Neeeeyyyyyyoooooooooommmmmm
"Apr 30, 2023, 12:42:56 AM",Rainy
"Apr 30, 2023, 5:15:52 PM",Lily E. Possibly...
"Apr 30, 2023, 7:39:19 PM",You need Powerade to sponsor a drinking tray for biscuit
"May 4, 2023, 9:32:34 PM",Was the force with you?
"May 5, 2023, 3:09:18 AM",Maybe the fifth will be with you tomorrow...
"May 7, 2023, 9:25:39 PM",Yep! You also get pace and elevation and a few others - the elevation one looks kinda like a coffee stain though...
"May 8, 2023, 11:17:28 PM",Pace was a palindrome though pretty cool
"May 9, 2023, 7:42:40 PM",Indeed... I guess that makes tomorrow the ultimate pgh run lol
"May 11, 2023, 12:01:24 AM",Simply run faster for longer
"May 11, 2023, 2:42:41 AM",INHALER
"Jun 10, 2023, 2:51:42 PM",High in protein tho...
"Jun 14, 2023, 4:36:43 PM",Phew I thought you took my CR
"Jun 14, 2023, 4:38:21 PM",Linh Nguyen I know where I'm running today now...
"Jun 20, 2023, 12:06:57 AM",https://youtu.be/HJVwEWEc7a4
"Jun 28, 2023, 10:23:55 PM",Def faster to run
"Jun 28, 2023, 10:24:02 PM",And less rain
"Jul 9, 2023, 3:19:34 PM",Snatchin power ⚡⚡⚡
"Jul 17, 2023, 4:28:40 PM",🙏(high five)!
"Jul 27, 2023, 10:59:36 PM",As you must 
"Aug 4, 2023, 11:49:31 PM",When you get back you're gonna be invincible to heat+humidity
"Aug 5, 2023, 12:23:52 AM",More kudos more segments more speeeeeeeed
"Aug 16, 2023, 3:08:14 AM",Those are incredibly crisp ovals
"Sep 2, 2023, 3:14:08 AM",They built some more bridges
"Sep 15, 2023, 3:03:34 PM",Thats rather embarrassing haha - i guess my run brain had directions backwards.  Thanks though!
"Sep 27, 2023, 8:45:51 PM",Hmm I actually recognize a route you ran! This aint Georgia!
"Sep 27, 2023, 8:46:29 PM",That hill is really bad but little freemansburg town is worth it
"Oct 17, 2023, 2:41:29 AM",I don't think they realize they got the segment -- but they even said it was their drive to target... They could crop the activity!!!
"Oct 22, 2023, 1:59:41 AM",🤝
"Nov 5, 2023, 3:03:57 PM",Wait what did you get taller???
